cladeB_534	comp1206_c0_seq2
cladeB_535	comp1211_c0_seq1
cladeB_536	comp1213_c0_seq1
cladeB_537	comp1217_c0_seq2
cladeB_538	comp1220_c0_seq1
cladeB_539	comp1227_c0_seq2
cladeB_540	comp1228_c0_seq1
cladeB_541	comp1234_c0_seq1
cladeB_542	comp1247_c0_seq1
cladeB_543	comp1261_c0_seq1
cladeB_544	comp1265_c0_seq1
cladeB_545	comp1269_c0_seq1
cladeB_546	comp1277_c0_seq1
cladeB_547	comp1281_c0_seq1
cladeB_548	comp1287_c0_seq1
cladeB_549	comp1288_c0_seq1
cladeB_550	comp1291_c0_seq1
cladeB_551	comp1294_c0_seq1
cladeB_552	comp1301_c0_seq1
cladeB_553	comp1302_c0_seq1
cladeB_554	comp1314_c0_seq1
cladeB_555	comp1323_c0_seq1
cladeB_556	comp1327_c0_seq1
cladeB_557	comp1329_c0_seq1
cladeB_558	comp1330_c0_seq1
cladeB_559	comp1333_c0_seq2
cladeB_560	comp1334_c0_seq2
cladeB_561	comp1356_c0_seq1
cladeB_562	comp1361_c0_seq1
cladeB_563	comp1365_c0_seq1
cladeB_564	comp1367_c0_seq1
cladeB_565	comp1368_c0_seq1
cladeB_566	comp1371_c0_seq1
cladeB_567	comp1380_c0_seq1
cladeB_568	comp1382_c0_seq1
cladeB_569	comp1384_c0_seq1
cladeB_570	comp1390_c0_seq1
cladeB_571	comp1399_c0_seq1
cladeB_572	comp1400_c0_seq1
cladeB_573	comp1402_c0_seq1
cladeB_574	comp1410_c0_seq1
cladeB_575	comp1414_c0_seq1
cladeB_576	comp1417_c0_seq1
cladeB_577	comp1440_c0_seq1
cladeB_578	comp1448_c0_seq1
cladeB_579	comp1455_c0_seq1
cladeB_580	comp1456_c0_seq1
cladeB_581	comp1464_c0_seq1
cladeB_582	comp1467_c0_seq1
cladeB_583	comp1474_c0_seq1
cladeB_584	comp1482_c0_seq1
cladeB_585	comp1484_c0_seq1
cladeB_586	comp1485_c0_seq2
cladeB_587	comp1488_c0_seq1
cladeB_588	comp1489_c0_seq1
cladeB_589	comp1495_c0_seq1
cladeB_590	comp1500_c0_seq1
cladeB_591	comp1503_c0_seq1
cladeB_592	comp1513_c0_seq1
cladeB_593	comp1515_c0_seq1
cladeB_594	comp1518_c0_seq1
cladeB_595	comp1524_c0_seq1
cladeB_596	comp1526_c0_seq1
cladeB_597	comp1527_c0_seq1
cladeB_598	comp1529_c0_seq2
cladeB_599	comp1536_c0_seq1
cladeB_600	comp1539_c0_seq1
cladeB_601	comp1542_c0_seq1
cladeB_602	comp1545_c0_seq1
cladeB_603	comp1549_c0_seq2
cladeB_604	comp1553_c0_seq1
cladeB_605	comp1554_c0_seq1
cladeB_606	comp1567_c0_seq1
cladeB_607	comp1568_c0_seq1
cladeB_608	comp1570_c0_seq1
cladeB_609	comp1571_c0_seq1
cladeB_610	comp1576_c0_seq1
cladeB_611	comp1580_c0_seq1
cladeB_612	comp1581_c0_seq2
cladeB_613	comp1583_c0_seq1
cladeB_614	comp1586_c0_seq1
cladeB_615	comp1590_c0_seq1
cladeB_616	comp1591_c0_seq1
cladeB_617	comp1601_c0_seq1
cladeB_618	comp1607_c0_seq1
cladeB_619	comp1609_c0_seq1
cladeB_620	comp1614_c0_seq2
cladeB_621	comp1616_c0_seq2
cladeB_622	comp1623_c0_seq1
cladeB_623	comp1624_c0_seq1
cladeB_624	comp1626_c0_seq2
cladeB_625	comp1629_c0_seq1
cladeB_626	comp1633_c0_seq1
cladeB_627	comp1634_c0_seq2
cladeB_628	comp1636_c0_seq1
cladeB_629	comp1637_c0_seq1
cladeB_630	comp1645_c0_seq1
cladeB_631	comp1646_c0_seq1
cladeB_632	comp1651_c0_seq1
cladeB_633	comp1652_c0_seq1
cladeB_634	comp1655_c0_seq1
cladeB_635	comp1656_c0_seq1
cladeB_636	comp1657_c0_seq1
cladeB_637	comp1658_c0_seq1
cladeB_638	comp1660_c0_seq1
cladeB_639	comp1661_c0_seq1
cladeB_640	comp1662_c0_seq1
cladeB_641	comp1669_c0_seq1
cladeB_642	comp1675_c0_seq1
cladeB_643	comp1680_c0_seq1
cladeB_644	comp1683_c0_seq1
cladeB_645	comp1684_c0_seq1
cladeB_646	comp1685_c0_seq1
cladeB_647	comp1687_c0_seq1
cladeB_648	comp1688_c0_seq1
cladeB_649	comp1690_c0_seq1
cladeB_650	comp1696_c0_seq1
cladeB_651	comp1702_c0_seq1
cladeB_652	comp1709_c0_seq1
cladeB_653	comp1711_c0_seq1
cladeB_654	comp1713_c0_seq1
cladeB_655	comp1718_c0_seq2
cladeB_656	comp1722_c0_seq1
cladeB_657	comp1723_c0_seq1
cladeB_658	comp1725_c0_seq1
cladeB_659	comp1728_c0_seq1
cladeB_660	comp1729_c0_seq1
cladeB_661	comp1730_c0_seq1
cladeB_662	comp1731_c0_seq1
cladeB_663	comp1733_c0_seq1
cladeB_664	comp1734_c0_seq1
cladeB_665	comp1738_c0_seq1
cladeB_666	comp1739_c0_seq1
cladeB_667	comp1740_c0_seq2
cladeB_668	comp1744_c0_seq1
cladeB_669	comp1745_c0_seq1
cladeB_670	comp1747_c0_seq1
cladeB_671	comp1750_c0_seq1
cladeB_672	comp1751_c0_seq1
cladeB_673	comp1755_c0_seq1
cladeB_674	comp1762_c0_seq1
cladeB_675	comp1765_c0_seq1
cladeB_676	comp1767_c0_seq1
cladeB_677	comp1768_c0_seq1
cladeB_678	comp1769_c0_seq1
cladeB_679	comp1771_c0_seq1
cladeB_680	comp1783_c0_seq1
cladeB_681	comp1785_c0_seq1
cladeB_682	comp1787_c0_seq1
cladeB_683	comp1796_c0_seq1
cladeB_684	comp1797_c0_seq1
cladeB_685	comp1801_c0_seq1
cladeB_686	comp1805_c0_seq1
cladeB_687	comp1807_c0_seq1
cladeB_688	comp1810_c0_seq1
cladeB_689	comp1815_c0_seq1
cladeB_690	comp1825_c0_seq1
cladeB_691	comp1826_c0_seq1
cladeB_692	comp1827_c0_seq1
cladeB_693	comp1831_c0_seq1
cladeB_694	comp1832_c0_seq2
cladeB_695	comp1844_c0_seq2
cladeB_696	comp1848_c0_seq1
cladeB_697	comp1851_c0_seq1
cladeB_698	comp1852_c0_seq1
cladeB_699	comp1854_c0_seq1
cladeB_700	comp1857_c0_seq1
cladeB_701	comp1861_c0_seq1
cladeB_702	comp1869_c0_seq1
cladeB_703	comp1881_c0_seq1
cladeB_704	comp1885_c0_seq2
cladeB_705	comp1886_c0_seq1
cladeB_706	comp1891_c0_seq2
cladeB_707	comp1897_c0_seq1
cladeB_708	comp1902_c0_seq1
cladeB_709	comp1904_c0_seq1
cladeB_710	comp1913_c0_seq1
cladeB_711	comp1914_c0_seq2
cladeB_712	comp1916_c0_seq1
cladeB_713	comp1917_c0_seq1
cladeB_714	comp1919_c0_seq1
cladeB_715	comp1922_c0_seq1
cladeB_716	comp1925_c0_seq1
cladeB_717	comp1931_c0_seq1
cladeB_718	comp1933_c0_seq1
cladeB_719	comp1935_c0_seq1
cladeB_720	comp1940_c0_seq1
cladeB_721	comp1941_c0_seq1
cladeB_722	comp1947_c0_seq1
cladeB_723	comp1949_c0_seq1
cladeB_724	comp1950_c0_seq1
cladeB_725	comp1953_c0_seq1
cladeB_726	comp1954_c0_seq1
cladeB_727	comp1957_c0_seq1
cladeB_728	comp1960_c0_seq1
cladeB_729	comp1962_c0_seq2
cladeB_730	comp1963_c0_seq1
cladeB_731	comp1973_c0_seq1
cladeB_732	comp1979_c0_seq2
cladeB_733	comp1984_c0_seq1
cladeB_734	comp1989_c0_seq1
cladeB_735	comp1992_c0_seq1
cladeB_736	comp1993_c0_seq1
cladeB_737	comp1995_c0_seq1
cladeB_738	comp1996_c0_seq1
cladeB_739	comp2000_c0_seq1
cladeB_740	comp2001_c0_seq1
cladeB_741	comp2010_c0_seq1
cladeB_742	comp2014_c0_seq1
cladeB_743	comp2015_c0_seq1
cladeB_744	comp2020_c0_seq1
cladeB_745	comp2024_c0_seq1
cladeB_746	comp2029_c0_seq1
cladeB_747	comp2030_c0_seq1
cladeB_748	comp2032_c0_seq1
cladeB_749	comp2035_c0_seq2
cladeB_750	comp2038_c0_seq1
cladeB_751	comp2044_c0_seq1
cladeB_752	comp2045_c0_seq1
cladeB_753	comp2047_c0_seq1
cladeB_754	comp2058_c0_seq1
cladeB_755	comp2062_c0_seq1
cladeB_756	comp2064_c0_seq1
cladeB_757	comp2070_c0_seq1
cladeB_758	comp2073_c0_seq1
cladeB_759	comp2079_c0_seq1
